Tid (h);Norm konc. 5
1.077777778;0.159991816
1.080555556;0.162140044
1.083333333;0.158559664
1.086111111;0.157383254
1.088888889;0.160810189
1.091666667;0.156769475
1.094444444;0.156974068
1.097222222;0.157485551
1.1;0.157587847
1.102777778;0.157485551
1.105555556;0.155695361
1.108333333;0.155286175
1.111111111;0.154774692
1.113888889;0.163009565
1.116666667;0.153547133
1.119444444;0.154314357
1.122222222;0.151705795
1.125;0.151654647
1.127777778;0.149915605
1.130555556;0.149506419
1.133333333;0.149148381
1.136111111;0.148636898
1.138888889;0.147920822
1.141666667;0.147665081
1.144444444;0.147716229
1.147222222;0.147460488
1.15;0.147000153
1.152777778;0.147307043
1.155555556;0.147000153
1.158333333;0.146028336
1.161111111;0.145107667
1.163888889;0.144647333
1.166666667;0.145158815
1.169444444;0.145056519
1.172222222;0.144033553
1.175;0.143777812
1.177777778;0.143982405
1.180555556;0.143266329
1.183333333;0.143010588
1.186111111;0.142550253
1.188888889;0.142192215
1.191666667;0.142141067
1.194444444;0.141731881
1.197222222;0.141629584
1.2;0.141424991
1.202777778;0.140760063
1.205555556;0.140350877
1.208333333;0.139583653
1.211111111;0.139481356
1.213888889;0.139174467
1.216666667;0.138867577
1.219444444;0.138304946
1.222222222;0.137844612
1.225;0.137486574
1.227777778;0.13728198
1.230555556;0.136565905
1.233333333;0.136872794
1.236111111;0.136565905
1.238888889;0.136156718
1.241666667;0.136054422
1.244444444;0.136565905
1.247222222;0.13728198
1.25;0.137691167
1.252777778;0.137844612
1.255555556;0.137333129
1.258333333;0.136565905
1.261111111;0.134366529
1.263888889;0.132934377
1.266666667;0.131962559
1.269444444;0.12986548
1.272222222;0.128842514
1.275;0.131246484
1.277777778;0.13104189
1.280555556;0.134468825
1.283333333;0.136565905
1.286111111;0.134059639
1.288888889;0.132883228
1.291666667;0.132013708
1.294444444;0.132116004
1.297222222;0.132218301
1.3;0.131809115
1.302777778;0.13104189
1.305555556;0.129967777
1.308333333;0.129456294
1.311111111;0.12955859
1.313888889;0.129660887
1.316666667;0.130683852
1.319444444;0.130428111
1.322222222;0.130223518
1.325;0.129405146
1.327777778;0.127768401
1.330555556;0.126540842
1.333333333;0.126233952
1.336111111;0.125927063
1.338888889;0.126233952
1.341666667;0.126131656
1.344444444;0.125262135
1.347222222;0.124852949
1.35;0.124546059
1.352777778;0.124136873
1.355555556;0.1233185
1.358333333;0.121681755
1.361111111;0.121221421
1.363888889;0.120863383
1.366666667;0.119993862
1.369444444;0.119226638
1.372222222;0.122909314
1.375;0.117896783
1.377777778;0.118459414
1.380555556;0.123062759
1.383333333;0.119277786
1.386111111;0.121323717
1.388888889;0.119226638
1.391666667;0.119226638
1.394444444;0.119482379
1.397222222;0.119686973
1.4;0.119584676
1.402777778;0.119431231
1.405555556;0.119124341
1.408333333;0.118305969
1.411111111;0.117794486
1.413888889;0.117743338
1.416666667;0.117487597
1.419444444;0.117743338
1.422222222;0.117641041
1.425;0.116976114
1.427777778;0.116822669
1.430555556;0.116924965
1.433333333;0.116260038
1.436111111;0.115748555
1.438888889;0.115543962
1.441666667;0.114725589
1.444444444;0.114316403
1.447222222;0.113856069
1.45;0.113344586
1.452777778;0.112781955
1.455555556;0.112423917
1.458333333;0.112168176
1.461111111;0.111656693
1.463888889;0.111963582
1.466666667;0.110889469
1.469444444;0.110633727
1.472222222;0.110173393
1.475;0.110019948
1.477777778;0.110122244
1.480555556;0.1099688
1.483333333;0.109406168
1.486111111;0.108485499
1.488888889;0.108076313
1.491666667;0.10817861
1.494444444;0.108127462
1.497222222;0.10787172
1.5;0.107411386
1.502777778;0.106951051
1.505555556;0.108536648
1.508333333;0.107820572
1.511111111;0.107002199
1.513888889;0.106286123
1.516666667;0.10608153
1.519444444;0.105774641
1.522222222;0.105621196
1.525;0.105928086
1.527777778;0.105570048
1.530555556;0.105058565
1.533333333;0.105058565
1.536111111;0.10490512
1.538888889;0.104802823
1.541666667;0.10490512
1.544444444;0.104189044
1.547222222;0.104086747
1.55;0.104035599
1.552777778;0.104240192
1.555555556;0.10490512
1.558333333;0.105314306
1.561111111;0.104956268
1.563888889;0.104495934
1.566666667;0.104291341
1.569444444;0.104393637
1.572222222;0.104342489
1.575;0.10459823
1.577777778;0.104342489
1.580555556;0.104495934
1.583333333;0.104547082
1.586111111;0.104495934
1.588888889;0.104547082
1.591666667;0.104802823
1.594444444;0.10490512
1.597222222;0.105160861
1.6;0.105007417
1.602777778;0.105058565
1.605555556;0.105263158
1.608333333;0.10521201
1.611111111;0.104700527
1.613888889;0.104342489
1.616666667;0.103984451
1.619444444;0.110275689
1.622222222;0.103524116
1.625;0.103319523
1.627777778;0.103677561
1.630555556;0.102756892
1.633333333;0.10132474
1.636111111;0.100506368
1.638888889;0.100199478
1.641666667;0.099585699
1.644444444;0.101375889
1.647222222;0.103063782
1.65;0.098767326
1.652777778;0.098818475
1.655555556;0.099176513
1.658333333;0.104137896
1.661111111;0.104291341
1.663888889;0.105876937
1.666666667;0.098153547
1.669444444;0.103166078
1.672222222;0.098511585
1.675;0.098613882
1.677777778;0.098767326
1.680555556;0.098920771
1.683333333;0.09866503
1.686111111;0.098153547
1.688888889;0.098511585
1.691666667;0.09835814
1.694444444;0.098511585
1.697222222;0.098613882
1.7;0.098818475
1.702777778;0.104956268
1.705555556;0.098818475
1.708333333;0.097744361
1.711111111;0.097232878
1.713888889;0.096977137
1.716666667;0.102398854
1.719444444;0.10045522
1.722222222;0.095238095
1.725;0.095493837
1.727777778;0.094726612
1.730555556;0.094010537
1.733333333;0.09421513
1.736111111;0.094112833
1.738888889;0.094010537
1.741666667;0.094112833
1.744444444;0.094061685
1.747222222;0.094010537
1.75;0.09360135
1.752777778;0.092987571
1.755555556;0.092782978
1.758333333;0.092527236
1.761111111;0.092169199
1.763888889;0.092015754
1.766666667;0.091913457
1.769444444;0.091555419
1.772222222;0.09094164
1.775;0.089969823
1.777777778;0.089918674
1.780555556;0.089765229
1.783333333;0.089611785
1.786111111;0.093089868
1.788888889;0.08945834
1.791666667;0.089304895
1.794444444;0.091350826
1.797222222;0.088793412
1.8;0.092271495
1.802777778;0.090123267
1.805555556;0.094880057
1.808333333;0.088281929
1.811111111;0.087719298
1.813888889;0.087412409
1.816666667;0.087821595
1.819444444;0.087923891
1.822222222;0.08797504
1.825;0.08766815
1.827777778;0.087770447
1.830555556;0.087770447
1.833333333;0.087872743
1.836111111;0.087923891
1.838888889;0.087821595
1.841666667;0.08766815
1.844444444;0.087310112
1.847222222;0.087310112
1.85;0.087412409
1.852777778;0.087412409
1.855555556;0.087207815
1.858333333;0.087207815
1.861111111;0.087207815
1.863888889;0.087003222
1.866666667;0.087054371
1.869444444;0.087156667
1.872222222;0.087105519
1.875;0.08649174
1.877777778;0.086287146
1.880555556;0.08618485
1.883333333;0.085980257
1.886111111;0.085826812
1.888888889;0.085929108
1.891666667;0.085622219
1.894444444;0.085264181
1.897222222;0.084752698
1.9;0.084599253
1.902777778;0.084599253
1.905555556;0.085264181
1.908333333;0.08470155
1.911111111;0.084650402
1.913888889;0.084138919
1.916666667;0.083576288
1.919444444;0.083013657
1.922222222;0.083064805
1.925;0.083064805
1.927777778;0.083013657
1.930555556;0.08291136
1.933333333;0.082757915
1.936111111;0.08260447
1.938888889;0.083473991
1.941666667;0.08321825
1.944444444;0.083678584
1.947222222;0.083832029
1.95;0.083934326
1.952777778;0.083576288
1.955555556;0.083064805
1.958333333;0.082860212
1.961111111;0.08291136
1.963888889;0.08291136
1.966666667;0.083064805
1.969444444;0.083473991
1.972222222;0.084036622
1.975;0.084292364
1.977777778;0.084548105
1.980555556;0.084803846
1.983333333;0.084957291
1.986111111;0.084445808
1.988888889;0.08439466
1.991666667;0.084752698
1.994444444;0.085161884
1.997222222;0.085161884
2;0.084957291
2.002777778;0.084496957
2.005555556;0.084292364
2.008333333;0.085315329
2.011111111;0.084241215
2.013888889;0.084190067
2.016666667;0.08408777
2.019444444;0.08587796
2.022222222;0.083473991
2.025;0.087463557
2.027777778;0.084241215
2.030555556;0.084752698
2.033333333;0.08470155
2.036111111;0.084752698
2.038888889;0.084906143
2.041666667;0.085315329
2.044444444;0.085571071
2.047222222;0.085571071
2.05;0.085724515
2.052777778;0.085673367
2.055555556;0.08587796
2.058333333;0.085622219
2.061111111;0.085673367
2.063888889;0.085417626
2.066666667;0.086133702
2.069444444;0.085929108
2.072222222;0.086133702
2.075;0.086338295
2.077777778;0.08587796
2.080555556;0.086031405
2.083333333;0.086389443
2.086111111;0.086133702
2.088888889;0.088128484
2.091666667;0.086389443
2.094444444;0.087514705
2.097222222;0.089407191
2.1;0.084957291
2.102777778;0.084957291
2.105555556;0.085008439
2.108333333;0.085161884
2.111111111;0.085519922
2.113888889;0.086849778
2.116666667;0.086235998
2.119444444;0.085724515
2.122222222;0.085826812
2.125;0.086031405
2.127777778;0.086031405
2.130555556;0.085826812
2.133333333;0.085417626
2.136111111;0.085008439
2.138888889;0.085110736
2.141666667;0.084906143
2.144444444;0.084906143
2.147222222;0.085264181
2.15;0.085366477
2.152777778;0.085468774
2.155555556;0.085826812
2.158333333;0.085826812
2.161111111;0.086082553
2.163888889;0.086082553
2.166666667;0.086031405
2.169444444;0.085724515
2.172222222;0.085724515
2.175;0.085826812
2.177777778;0.085110736
2.180555556;0.085417626
2.183333333;0.085366477
2.186111111;0.085008439
2.188888889;0.085366477
2.191666667;0.084906143
2.194444444;0.08439466
2.197222222;0.084343512
2.2;0.085008439
2.202777778;0.084241215
2.205555556;0.084445808
2.208333333;0.084906143
2.211111111;0.08470155
2.213888889;0.08439466
2.216666667;0.084496957
2.219444444;0.084292364
2.222222222;0.084190067
2.225;0.083883177
2.227777778;0.082655619
2.230555556;0.082144136
2.233333333;0.081530357
2.236111111;0.08112117
2.238888889;0.080967725
2.241666667;0.081018874
