Tid (h);Konc. Norm (g/l) 
0.319444444;0.384270041
0.322222222;0.383175734
0.325;0.381632481
0.327777778;0.380594293
0.330555556;0.379471927
0.333333333;0.37804091
0.336111111;0.376469598
0.338888889;0.374926345
0.341666667;0.373467269
0.344444444;0.372401021
0.347222222;0.371250596
0.35;0.370268526
0.352777778;0.369090042
0.355555556;0.367771262
0.358333333;0.366452482
0.361111111;0.365245938
0.363888889;0.364011336
0.366666667;0.363085384
0.369444444;0.361934959
0.372222222;0.360840652
0.375;0.359886641
0.377777778;0.35859592
0.380555556;0.357726087
0.383333333;0.356547602
0.386111111;0.355228822
0.388888889;0.354134516
0.391666667;0.352927972
0.394444444;0.351945902
0.397222222;0.351188305
0.4;0.350262353
0.402777778;0.349841466
0.405555556;0.348915514
0.408333333;0.348270153
0.411111111;0.347596734
0.413888889;0.346474368
0.416666667;0.345492298
0.419444444;0.344566346
0.422222222;0.343640394
0.425;0.341928786
0.427777778;0.341002834
0.430555556;0.340581947
0.433333333;0.339207048
0.436111111;0.338112742
0.438888889;0.33718679
0.441666667;0.33586801
0.444444444;0.335138472
0.447222222;0.334436993
0.45;0.333595219
0.452777778;0.332781503
0.455555556;0.331967788
0.458333333;0.331154073
0.461111111;0.330200062
0.463888889;0.329330228
0.466666667;0.328404276
0.469444444;0.327422206
0.472222222;0.326524313
0.475;0.325570302
0.477777778;0.324924942
0.480555556;0.324111226
0.483333333;0.323830635
0.486111111;0.323353629
0.488888889;0.322736328
0.491666667;0.321866495
0.494444444;0.321277252
0.497222222;0.320435478
0.5;0.319593704
0.502777778;0.31872387
0.505555556;0.317657622
0.508333333;0.316787789
0.511111111;0.315777659
0.513888889;0.314935885
0.516666667;0.314178288
0.519444444;0.313280395
0.522222222;0.312494739
0.525;0.311933556
0.527777778;0.311372373
0.530555556;0.310362244
0.533333333;0.309436292
0.536111111;0.308706754
0.538888889;0.307977216
0.541666667;0.307331856
0.544444444;0.306826791
0.547222222;0.306153371
0.55;0.305479952
0.552777778;0.30486265
0.555555556;0.304245349
0.558333333;0.303515811
0.561111111;0.302926569
0.563888889;0.302197031
0.566666667;0.301327198
0.569444444;0.300625719
0.572222222;0.300036477
0.575;0.29927888
